,Series_Title,Released_Year,Genre,IMDB_Rating,Director
0,The Shawshank Redemption,1994,Drama,9.3,Frank Darabont
1,The Godfather,1972,"Crime, Drama",9.2,Francis Ford Coppola
2,The Dark Knight,2008,"Action, Crime, Drama",9.0,Christopher Nolan
3,The Godfather: Part II,1974,"Crime, Drama",9.0,Francis Ford Coppola
4,12 Angry Men,1957,"Crime, Drama",9.0,Sidney Lumet
5,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",8.9,Peter Jackson
6,Pulp Fiction,1994,"Crime, Drama",8.9,Quentin Tarantino
7,Schindler's List,1993,"Biography, Drama, History",8.9,Steven Spielberg
8,Inception,2010,"Action, Adventure, Sci-Fi",8.8,Christopher Nolan
9,Fight Club,1999,Drama,8.8,David Fincher
